state,date,res_dex,num_devices
KS,2020-01-29,109.1027,432573
KS,2020-01-30,118.0292,429132
KS,2020-01-31,135.7565,429283
KS,2020-02-01,123.0831,413317
KS,2020-02-02,58.877998,409364
KS,2020-02-03,92.335297,267745
KS,2020-02-04,95.217102,271164
KS,2020-02-05,87.641403,264017
KS,2020-02-06,97.638496,260966
KS,2020-02-07,107.2137,261551
KS,2020-02-08,94.329597,255417
KS,2020-02-09,58.595798,255615
KS,2020-02-10,92.365601,264939
KS,2020-02-11,99.180099,265348
KS,2020-02-12,84.843803,268851
KS,2020-02-13,64.195297,246698
KS,2020-02-14,98.774803,251821
KS,2020-02-15,99.748802,249330
KS,2020-02-16,66.229301,247932
KS,2020-02-17,83.312302,256702
KS,2020-02-18,96.156898,257909
KS,2020-02-19,91.705299,261045
KS,2020-02-20,95.327698,258253
KS,2020-02-21,115.3981,255772
KS,2020-02-22,95.749603,251877
KS,2020-02-23,59.278099,253281
KS,2020-02-24,104.5699,265015
KS,2020-02-25,97.529404,265160
KS,2020-02-26,98.675797,257459
KS,2020-02-27,102.5777,262806
KS,2020-02-28,120.6213,256422
KS,2020-02-29,101.2209,252675
KS,2020-03-01,65.780403,253345
KS,2020-03-02,92.7743,258120
KS,2020-03-03,101.4828,256648
KS,2020-03-04,104.998,257893
KS,2020-03-05,102.935,256415
KS,2020-03-06,113.4693,251959
KS,2020-03-07,107.7848,247060
KS,2020-03-08,61.930801,245082
KS,2020-03-09,82.133904,250346
KS,2020-03-10,86.825203,246132
KS,2020-03-11,86.0812,224777
KS,2020-03-12,83.978104,242213
KS,2020-03-13,68.9394,245345
KS,2020-03-14,47.193802,230507
KS,2020-03-15,36.6036,232995
KS,2020-03-16,57.275501,239500
KS,2020-03-17,53.945599,239409
KS,2020-03-18,53.4688,242714
KS,2020-03-19,47.736301,249811
KS,2020-03-20,42.525902,246710
KS,2020-03-21,28.9403,240864
KS,2020-03-22,28.6759,235354
KS,2020-03-23,43.0616,244131
KS,2020-03-24,40.054199,244851
KS,2020-03-25,45.680599,244663
KS,2020-03-26,42.571602,246577
KS,2020-03-27,46.872101,249582
KS,2020-03-28,42.301899,245568
KS,2020-03-29,35.684502,241875
KS,2020-03-30,38.948601,250753
KS,2020-03-31,40.598999,247160
KS,2020-04-01,38.492802,239268
KS,2020-04-02,34.9011,239977
KS,2020-04-03,31.8685,237678
KS,2020-04-04,31.556499,229276
KS,2020-04-05,25.322901,230029
KS,2020-04-06,32.0518,232078
KS,2020-04-07,35.852501,238406
KS,2020-04-08,37.5574,234348
KS,2020-04-09,33.576199,235510
KS,2020-04-10,41.918201,235376
KS,2020-04-11,40.320301,238008
KS,2020-04-12,13.4981,225603
KS,2020-04-13,27.6017,229157
KS,2020-04-14,26.865999,206488
KS,2020-04-15,26.6064,197288
KS,2020-04-16,22.760201,200845
KS,2020-04-17,25.3465,198057
KS,2020-04-18,39.625301,206058
KS,2020-04-19,27.841,225143
KS,2020-04-20,27.532801,223146
KS,2020-04-21,33.5923,220624
KS,2020-04-22,28.089399,218064
KS,2020-04-23,34.668999,215591
KS,2020-04-24,31.4865,220248
KS,2020-04-25,54.939301,224801
KS,2020-04-26,37.812199,221262
KS,2020-04-27,34.997101,213342
KS,2020-04-28,34.228401,220532
KS,2020-04-29,33.733101,211763
KS,2020-04-30,32.4645,208450
KS,2020-05-01,38.526001,208319
KS,2020-05-02,50.249401,220342
KS,2020-05-03,35.902,223809
KS,2020-05-04,32.384399,222910
KS,2020-05-05,46.340698,215558
KS,2020-05-06,40.942699,217659
KS,2020-05-07,39.261101,223289
KS,2020-05-08,55.2225,216019
KS,2020-05-09,74.113197,225461
KS,2020-05-10,48.770302,227293
KS,2020-05-11,34.014198,220125
KS,2020-05-12,35.2094,217705
KS,2020-05-13,39.046799,223679
KS,2020-05-14,46.1731,227348
KS,2020-05-15,51.174599,228096
KS,2020-05-16,72.863403,229717
KS,2020-05-17,50.333302,220066
KS,2020-05-18,61.029598,226410
KS,2020-05-19,54.529301,217202
KS,2020-05-20,51.034,217773
KS,2020-05-21,57.644501,225783
KS,2020-05-22,63.177601,223867
KS,2020-05-23,80.333397,224787
KS,2020-05-24,53.813702,229937
KS,2020-05-25,40.809601,218694
KS,2020-05-26,59.599098,234471
KS,2020-05-27,52.798801,216261
KS,2020-05-28,43.126598,215138
KS,2020-05-29,66.340698,226757
KS,2020-05-30,53.697498,212400
KS,2020-05-31,52.358299,221336
KS,2020-06-01,51.975399,215155
KS,2020-06-02,52.9342,212473
KS,2020-06-03,64.5952,213865
KY,2020-01-20,52.408298,330448
KY,2020-01-21,89.267097,339519
KY,2020-01-22,86.2911,339688
KY,2020-01-23,89.506798,343039
KY,2020-01-24,98.053802,341719
KY,2020-01-25,64.6707,333447
KY,2020-01-26,45.248699,333256
KY,2020-01-27,99.101196,566804
KY,2020-01-28,104.9722,568516
KY,2020-01-29,102.1994,571831
KY,2020-01-30,108.149,565226
KY,2020-01-31,127.047,569165
KY,2020-02-01,89.283401,542374
KY,2020-02-02,56.046101,540864
KY,2020-02-03,83.764,349356
KY,2020-02-04,88.233398,354671
KY,2020-02-05,84.770798,353708
KY,2020-02-06,81.336899,351029
KY,2020-02-07,74.117996,349233
KY,2020-02-08,71.765701,341625
KY,2020-02-09,48.443501,341224
KY,2020-02-10,85.915604,353518
KY,2020-02-11,94.270798,352905
KY,2020-02-12,86.900703,355324
KY,2020-02-13,88.8909,332099
KY,2020-02-14,111.2284,341970
KY,2020-02-15,84.026398,340210
KY,2020-02-16,53.684799,334873
KY,2020-02-17,75.076599,342417
KY,2020-02-18,93.4123,347125
KY,2020-02-19,95.087303,346859
KY,2020-02-20,98.5009,347876
KY,2020-02-21,111.379,347026
KY,2020-02-22,82.277397,339839
KY,2020-02-23,52.2925,333858
KY,2020-02-24,94.941597,348452
KY,2020-02-25,102.0749,352204
KY,2020-02-26,97.6931,348826
KY,2020-02-27,99.207497,356614
KY,2020-02-28,125.5089,352531
KY,2020-02-29,93.3041,345239
KY,2020-03-01,58.614799,344537
KY,2020-03-02,89.908401,353745
KY,2020-03-03,100.9529,351964
KY,2020-03-04,99.345299,349063
KY,2020-03-05,105.0398,346196
KY,2020-03-06,112.5058,344801
KY,2020-03-07,93.440102,338486
KY,2020-03-08,56.592701,331334
KY,2020-03-09,96.488403,341712
KY,2020-03-10,87.523003,337564
KY,2020-03-11,83.468498,303090
KY,2020-03-12,73.281097,329819
KY,2020-03-13,79.370903,341172
KY,2020-03-14,42.512001,320402
KY,2020-03-15,37.814201,328092
KY,2020-03-16,62.1161,333494
KY,2020-03-17,57.408501,330475
KY,2020-03-18,53.003101,328368
KY,2020-03-19,46.7407,333077
KY,2020-03-20,46.104801,336594
KY,2020-03-21,28.3489,320189
KY,2020-03-22,28.797701,317137
KY,2020-03-23,44.123699,325371
KY,2020-03-24,39.3438,327591
KY,2020-03-25,46.494301,327485
KY,2020-03-26,49.520699,329460
KY,2020-03-27,53.4566,331523
KY,2020-03-28,47.747501,330404
KY,2020-03-29,33.9967,324892
KY,2020-03-30,43.563,330860
KY,2020-03-31,37.1269,327436
KY,2020-04-01,38.379002,315472
KY,2020-04-02,41.318501,314013
KY,2020-04-03,49.597198,319061
KY,2020-04-04,43.1465,310446
KY,2020-04-05,31.108801,308388
KY,2020-04-06,40.234299,312624
