STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
HI,0.005655,0.000224,0.000374,0.0024,0.003649,0.001807,0.000256,0.000346,0.000241,0.000336,0.000367,0.971198,0.000328,0.00171,0.00049,0.000301,0.000474,0.000299,0.00039,0.000324,0.000402,0.000174,0.000351,0.000588,0.000418,0.000247,0.001135,0.000404,0.000622,0.000493,0.000346,0.000363,0.000886,0.004322,0.000284,0.000276,0.000643,0.00341,0.000265,0.000286,0.000258,0.000619,0.000349,0.000659,0.003786,0.000455,0.000364,0.004078,0.000313,0.000159,0.001109
IA,0.003672,0.001897,0.006253,0.004633,0.001608,0.011979,0.000909,0.003226,0.000899,0.002042,0.001984,0.001841,0.955764,0.008076,0.049799,0.008194,0.027715,0.004794,0.00161,0.000826,0.001417,0.00124,0.003738,0.056236,0.034905,0.002685,0.018259,0.001517,0.02014,0.237232,0.00093,0.001145,0.008733,0.006763,0.001112,0.003585,0.00712,0.003363,0.0022,0.000732,0.001551,0.173707,0.00421,0.002225,0.008968,0.001854,0.001883,0.002536,0.036874,0.002729,0.053816
ID,0.008519,0.000489,0.001079,0.004573,0.002735,0.005706,0.000256,0.000864,0.000263,0.000526,0.000686,0.002685,0.002129,0.947559,0.001252,0.001162,0.001668,0.000949,0.000709,0.0003,0.000412,0.000447,0.000441,0.001681,0.001685,0.000792,0.119202,0.000454,0.009137,0.006115,0.000401,0.000336,0.005816,0.013093,0.000377,0.000712,0.00152,0.038817,0.000586,0.000286,0.000478,0.008453,0.000932,0.000984,0.063624,0.00049,0.000547,0.066771,0.000993,0.000381,0.102005
IL,0.01344,0.009186,0.018985,0.012639,0.005047,0.016969,0.005418,0.015898,0.005198,0.011415,0.009468,0.011716,0.134323,0.011065,0.966762,0.138839,0.022657,0.047667,0.006077,0.005079,0.007642,0.006202,0.037084,0.024306,0.123609,0.010757,0.021759,0.007173,0.016865,0.031278,0.004887,0.005065,0.020189,0.015518,0.00573,0.019881,0.013739,0.006468,0.009648,0.005408,0.008016,0.03018,0.026597,0.006657,0.012601,0.009382,0.007834,0.006184,0.170068,0.012154,0.057514
IN,0.005288,0.00779,0.010475,0.006444,0.002178,0.007656,0.003812,0.013651,0.00443,0.007791,0.00788,0.00353,0.017256,0.006217,0.110616,0.952654,0.009741,0.162799,0.003605,0.003213,0.00629,0.00382,0.067475,0.009921,0.020784,0.006022,0.013276,0.007199,0.010185,0.014828,0.002845,0.004236,0.014791,0.008082,0.004555,0.069984,0.008248,0.002777,0.010294,0.002895,0.007472,0.014742,0.025383,0.003628,0.007304,0.009008,0.005648,0.002598,0.026687,0.019537,0.035124
KS,0.004333,0.002766,0.018458,0.005562,0.001599,0.030569,0.000556,0.002477,0.000526,0.002768,0.002256,0.004006,0.022659,0.005146,0.007144,0.004565,0.952121,0.004226,0.002783,0.000682,0.001256,0.000918,0.001456,0.006555,0.191766,0.004321,0.010816,0.001525,0.008023,0.068168,0.000638,0.000684,0.017466,0.00519,0.000716,0.002387,0.056618,0.002331,0.001525,0.000573,0.001698,0.023711,0.004144,0.006014,0.007084,0.001618,0.001761,0.001877,0.003691,0.001915,0.035823
KY,0.003672,0.017714,0.010017,0.00351,0.001211,0.00542,0.001897,0.006739,0.002347,0.01208,0.0153,0.003183,0.008778,0.00412,0.027945,0.113111,0.007089,0.935428,0.004728,0.001803,0.004195,0.002332,0.014669,0.004592,0.019645,0.010235,0.007915,0.010487,0.004061,0.008346,0.001787,0.002124,0.007444,0.004535,0.002691,0.091689,0.004913,0.001877,0.006228,0.00175,0.014176,0.008556,0.102866,0.00294,0.004857,0.01292,0.002976,0.001805,0.009371,0.073059,0.021855
LA,0.003746,0.032317,0.04506,0.00487,0.001654,0.005505,0.001121,0.005933,0.001338,0.014245,0.00845,0.003638,0.002112,0.002395,0.003208,0.002745,0.003803,0.004218,0.961232,0.000965,0.002341,0.001464,0.001323,0.001359,0.005524,0.140535,0.005519,0.003641,0.002129,0.002946,0.000821,0.001392,0.013905,0.004968,0.001242,0.001818,0.013318,0.001361,0.001878,0.001273,0.004328,0.002964,0.009677,0.032293,0.003604,0.003269,0.001215,0.001337,0.001409,0.002126,0.012941
MA,0.001102,0.000828,0.000798,0.001368,0.001144,0.001711,0.151769,0.011462,0.008224,0.003396,0.001699,0.001797,0.000957,0.000833,0.001767,0.001888,0.00088,0.001359,0.00076,0.961662,0.006004,0.180397,0.001243,0.001137,0.000954,0.000685,0.001892,0.002464,0.001015,0.001352,0.490335,0.011405,0.002159,0.001676,0.019937,0.002414,0.000987,0.000688,0.007284,0.547673,0.002494,0.000979,0.001644,0.000868,0.001587,0.004785,0.154622,0.001032,0.000993,0.002285,0.003779
MD,0.001763,0.002058,0.002212,0.002319,0.001399,0.003136,0.016668,0.683774,0.437112,0.005929,0.004964,0.002577,0.001784,0.0018,0.003571,0.004797,0.002037,0.00473,0.001906,0.011013,0.944529,0.013917,0.002612,0.001567,0.002647,0.002088,0.003153,0.015125,0.00131,0.002589,0.011051,0.031756,0.004286,0.003607,0.017125,0.007231,0.001945,0.001181,0.085485,0.014125,0.011067,0.001675,0.004828,0.00175,0.00261,0.125586,0.013361,0.001127,0.002068,0.124603,0.007764
