state,date,aggLEX
AZ,2020-10-21,0.13662686567164178
AZ,2020-10-24,0.1508282865372735
AZ,2020-10-28,0.12299936648290177
AZ,2020-10-31,0.1298961854555144
AZ,2020-11-04,0.10978849285867712
AZ,2020-11-07,0.1289243735451904
AZ,2020-11-11,0.10754161658298197
AZ,2020-11-14,0.1241972493968622
AZ,2020-11-18,0.1055590731987988
AZ,2020-11-21,0.13157944157789223
AZ,2020-11-25,0.12962833467361282
AZ,2020-11-28,0.14760769944584792
AZ,2020-12-02,0.12084529608481993
AZ,2020-12-05,0.1325230107155451
AZ,2020-12-09,0.11698047419804743
AZ,2020-12-12,0.12976273495775537
AZ,2020-12-16,0.1051646535282899
AZ,2020-12-19,0.12156583471497402
AZ,2020-12-23,0.1196072878315869
AZ,2020-12-26,0.13535911000568443
AZ,2020-12-30,0.13672536778499406
AZ,2021-01-16,0.13011136594708345
AZ,2021-01-20,0.09943758491709925
AZ,2021-01-23,0.09608472384458958
AZ,2021-01-27,0.09339020512184396
AZ,2021-01-30,0.09516876471495911
AZ,2021-02-03,0.08922216221455971
AZ,2021-02-06,0.09754018601353237
AZ,2021-02-10,0.09566473450256306
AZ,2021-02-13,0.11813500945939391
AZ,2021-02-17,0.10496766435266153
AZ,2021-02-20,0.11347306896559992
AZ,2021-02-24,0.10340839778466343
CA,2020-01-15,0.10703458170267283
CA,2020-01-18,0.10156447409268445
CA,2020-01-22,0.09505607559396373
CA,2020-01-25,0.09550888250445273
CA,2020-01-29,0.09133990532438979
CA,2020-02-01,0.09378716907360071
CA,2020-02-05,0.09217106871056126
CA,2020-02-08,0.09329523052150568
CA,2020-02-12,0.0907886443190453
CA,2020-02-15,0.09943002530136699
CA,2020-02-19,0.10040191800227911
CA,2020-02-22,0.10340321505143638
CA,2020-02-26,0.09998939800250328
CA,2020-02-29,0.10349653434895985
CA,2020-03-04,0.08888512180064569
CA,2020-03-07,0.09289232822645066
CA,2020-03-11,0.0840983548180329
CA,2020-03-14,0.08525097400297514
