county,device_count_t,date
17063,7879,2020-04-10
17067,1743,2020-04-10
17073,5840,2020-04-10
17075,3583,2020-04-10
17077,4868,2020-04-10
17081,5035,2020-04-10
17083,2497,2020-04-10
17085,2447,2020-04-10
17089,40421,2020-04-10
17091,10308,2020-04-10
17093,14501,2020-04-10
17095,4831,2020-04-10
17097,50101,2020-04-10
17099,11679,2020-04-10
17103,3851,2020-04-10
17105,4274,2020-04-10
17109,2128,2020-04-10
17111,27887,2020-04-10
17113,14990,2020-04-10
17115,8969,2020-04-10
17117,4762,2020-04-10
17119,27569,2020-04-10
17121,4633,2020-04-10
17125,1568,2020-04-10
17127,1492,2020-04-10
17131,2019,2020-04-10
17133,4534,2020-04-10
17135,3493,2020-04-10
17137,3344,2020-04-10
17139,1769,2020-04-10
17141,6066,2020-04-10
17143,14852,2020-04-10
17145,2576,2020-04-10
17147,2331,2020-04-10
17157,3957,2020-04-10
17159,1767,2020-04-10
17161,12202,2020-04-10
17163,24225,2020-04-10
17165,2675,2020-04-10
17167,16697,2020-04-10
17173,2644,2020-04-10
17179,14480,2020-04-10
17181,2031,2020-04-10
17183,7374,2020-04-10
17189,2759,2020-04-10
17191,1806,2020-04-10
17193,1780,2020-04-10
17195,1976,2020-04-10
17197,63691,2020-04-10
17199,8461,2020-04-10
17201,23129,2020-04-10
17203,4837,2020-04-10
18001,2975,2020-04-10
18003,30659,2020-04-10
18005,7778,2020-04-10
18011,8743,2020-04-10
18015,2671,2020-04-10
18017,3618,2020-04-10
18019,12764,2020-04-10
18021,3699,2020-04-10
18023,3923,2020-04-10
18027,3166,2020-04-10
18029,5528,2020-04-10
18031,3110,2020-04-10
18033,5061,2020-04-10
18035,9591,2020-04-10
18037,3988,2020-04-10
18039,16604,2020-04-10
18041,2039,2020-04-10
18043,8887,2020-04-10
18045,2288,2020-04-10
18047,2529,2020-04-10
18049,2220,2020-04-10
18051,3968,2020-04-10
18053,6070,2020-04-10
18055,3353,2020-04-10
18057,31260,2020-04-10
18059,10533,2020-04-10
18061,4395,2020-04-10
18063,19592,2020-04-10
18065,5299,2020-04-10
18067,8549,2020-04-10
18069,4125,2020-04-10
18071,4670,2020-04-10
18073,4636,2020-04-10
18075,2053,2020-04-10
18077,2764,2020-04-10
18079,2859,2020-04-10
18081,17911,2020-04-10
18083,3891,2020-04-10
18085,7128,2020-04-10
18087,3262,2020-04-10
18089,38599,2020-04-10
18091,9496,2020-04-10
18093,4563,2020-04-10
18095,12203,2020-04-10
18097,65556,2020-04-10
18099,4711,2020-04-10
18103,3613,2020-04-10
18105,9146,2020-04-10
18107,4276,2020-04-10
18109,8386,2020-04-10
18113,4660,2020-04-10
18117,2139,2020-04-10
18119,2142,2020-04-10
18123,1865,2020-04-10
18127,16371,2020-04-10
18129,3061,2020-04-10
18133,4194,2020-04-10
18135,2693,2020-04-10
18137,3235,2020-04-10
18139,1839,2020-04-10
18141,18545,2020-04-10
18143,2752,2020-04-10
18145,5247,2020-04-10
18147,2450,2020-04-10
18149,2354,2020-04-10
18151,4080,2020-04-10
18153,2361,2020-04-10
18157,14016,2020-04-10
18159,2683,2020-04-10
18163,15593,2020-04-10
18165,2144,2020-04-10
18167,10640,2020-04-10
18169,3269,2020-04-10
18173,7060,2020-04-10
18175,3075,2020-04-10
18177,6625,2020-04-10
18179,3279,2020-04-10
18181,3506,2020-04-10
18183,3964,2020-04-10
19011,3348,2020-04-10
19013,9851,2020-04-10
19015,3238,2020-04-10
19017,2761,2020-04-10
19019,2494,2020-04-10
19021,1901,2020-04-10
19023,1526,2020-04-10
19027,2824,2020-04-10
19029,1970,2020-04-10
19031,2658,2020-04-10
19033,4662,2020-04-10
19041,2107,2020-04-10
19045,4792,2020-04-10
19047,1754,2020-04-10
19049,11172,2020-04-10
19055,2224,2020-04-10
19057,3749,2020-04-10
19059,2320,2020-04-10
19061,8134,2020-04-10
19065,2025,2020-04-10
19067,1834,2020-04-10
19077,1637,2020-04-10
19079,2355,2020-04-10
19081,1670,2020-04-10
19083,2056,2020-04-10
19085,2061,2020-04-10
19087,2474,2020-04-10
19095,2197,2020-04-10
19097,2236,2020-04-10
19099,4715,2020-04-10
19101,1669,2020-04-10
19103,11245,2020-04-10
19105,2168,2020-04-10
19109,1931,2020-04-10
19111,3527,2020-04-10
19113,19946,2020-04-10
19121,2255,2020-04-10
19123,2396,2020-04-10
19125,4030,2020-04-10
19127,3328,2020-04-10
19129,2199,2020-04-10
19139,3949,2020-04-10
19141,1741,2020-04-10
19145,1684,2020-04-10
19149,3275,2020-04-10
19153,42706,2020-04-10
19155,10624,2020-04-10
19157,2741,2020-04-10
19163,16748,2020-04-10
19167,3605,2020-04-10
19169,8015,2020-04-10
19171,1854,2020-04-10
19175,1679,2020-04-10
19179,3460,2020-04-10
19181,6457,2020-04-10
19183,2366,2020-04-10
19187,3563,2020-04-10
19191,1642,2020-04-10
19193,9467,2020-04-10
19197,1686,2020-04-10
20001,1488,2020-04-10
20009,2520,2020-04-10
20011,1798,2020-04-10
20015,7791,2020-04-10
20021,2397,2020-04-10
20035,3437,2020-04-10
20037,3637,2020-04-10
20041,2331,2020-04-10
20045,8262,2020-04-10
20051,3590,2020-04-10
20055,3135,2020-04-10
20057,2564,2020-04-10
20059,3720,2020-04-10
20061,3149,2020-04-10
20079,3489,2020-04-10
20087,2196,2020-04-10
20091,56465,2020-04-10
20099,2088,2020-04-10
20103,7296,2020-04-10
20111,3109,2020-04-10
20113,3665,2020-04-10
20121,4942,2020-04-10
20125,3101,2020-04-10
20133,1784,2020-04-10
20139,1947,2020-04-10
20149,3337,2020-04-10
20155,5814,2020-04-10
20161,4808,2020-04-10
20169,5011,2020-04-10
20173,39402,2020-04-10
20175,1757,2020-04-10
20177,15077,2020-04-10
20191,3008,2020-04-10
20209,15341,2020-04-10
21003,2318,2020-04-10
21005,2548,2020-04-10
21009,4666,2020-04-10
21015,17279,2020-04-10
21017,2029,2020-04-10
21019,5197,2020-04-10
21021,3031,2020-04-10
21027,1935,2020-04-10
21029,9793,2020-04-10
21035,3395,2020-04-10
21037,8596,2020-04-10
21043,2269,2020-04-10
21047,6755,2020-04-10
21049,3563,2020-04-10
21059,9587,2020-04-10
21067,22205,2020-04-10
21071,2815,2020-04-10
21073,4603,2020-04-10
21079,1835,2020-04-10
21081,2700,2020-04-10
21083,4192,2020-04-10
21085,2567,2020-04-10
21089,3563,2020-04-10
21093,10796,2020-04-10
21095,1524,2020-04-10
21097,1787,2020-04-10
21099,2227,2020-04-10
21101,4213,2020-04-10
21103,2132,2020-04-10
21107,4162,2020-04-10
21111,56407,2020-04-10
21113,5311,2020-04-10
21115,2374,2020-04-10
21117,14436,2020-04-10
21119,1104,2020-04-10
21121,2994,2020-04-10
21125,6731,2020-04-10
21133,1304,2020-04-10
21137,2172,2020-04-10
21141,2986,2020-04-10
21145,7518,2020-04-10
21151,8201,2020-04-10
21155,1715,2020-04-10
21157,4206,2020-04-10
21161,2223,2020-04-10
21163,2893,2020-04-10
21167,2135,2020-04-10
21173,2952,2020-04-10
21177,2761,2020-04-10
21179,4121,2020-04-10
21183,2325,2020-04-10
21185,7379,2020-04-10
21199,6075,2020-04-10
21205,2177,2020-04-10
21207,1835,2020-04-10
21209,5245,2020-04-10
21211,5204,2020-04-10
21213,2869,2020-04-10
21215,2289,2020-04-10
21217,2498,2020-04-10
21227,10843,2020-04-10
21235,3463,2020-04-10
21239,3122,2020-04-10
22001,6687,2020-04-10
22005,13537,2020-04-10
22009,3497,2020-04-10
22011,4171,2020-04-10
22015,13771,2020-04-10
22017,19282,2020-04-10
22019,19042,2020-04-10
22029,2140,2020-04-10
22031,3497,2020-04-10
22033,29766,2020-04-10
22037,1778,2020-04-10
22045,6398,2020-04-10
22047,3383,2020-04-10
22051,25832,2020-04-10
22055,21532,2020-04-10
22057,10399,2020-04-10
22061,4591,2020-04-10
22063,16295,2020-04-10
22067,2565,2020-04-10
22069,3450,2020-04-10
22071,17605,2020-04-10
22073,15148,2020-04-10
22075,2742,2020-04-10
22077,2666,2020-04-10
22079,11916,2020-04-10
22085,2744,2020-04-10
22087,3524,2020-04-10
22089,5433,2020-04-10
22093,2358,2020-04-10
22095,3474,2020-04-10
22097,2384,2020-04-10
22099,5826,2020-04-10
22101,4365,2020-04-10
22103,19345,2020-04-10
22105,13957,2020-04-10
22109,11076,2020-04-10
22111,2438,2020-04-10
22113,6506,2020-04-10
22115,4551,2020-04-10
22117,4377,2020-04-10
22119,1766,2020-04-10
22121,3353,2020-04-10
23001,6935,2020-04-10
23003,2530,2020-04-10
23005,15592,2020-04-10
23007,1325,2020-04-10
23009,2935,2020-04-10
23011,6275,2020-04-10
23013,2138,2020-04-10
23015,1871,2020-04-10
23017,3217,2020-04-10
23019,6255,2020-04-10
23023,2205,2020-04-10
23025,1780,2020-04-10
23027,1828,2020-04-10
23029,1630,2020-04-10
23031,11490,2020-04-10
24001,4637,2020-04-10
24003,34507,2020-04-10
24005,48005,2020-04-10
24009,7718,2020-04-10
24011,3132,2020-04-10
24013,14206,2020-04-10
24015,9002,2020-04-10
24017,11253,2020-04-10
24019,2608,2020-04-10
24021,19985,2020-04-10
24023,2665,2020-04-10
24025,19107,2020-04-10
24027,21201,2020-04-10
24029,1674,2020-04-10
24031,50679,2020-04-10
24033,47628,2020-04-10
24035,4993,2020-04-10
24037,8860,2020-04-10
24039,1511,2020-04-10
24041,3512,2020-04-10
24043,12052,2020-04-10
24045,7025,2020-04-10
24047,4604,2020-04-10
24510,23173,2020-04-10
25001,13322,2020-04-10
25003,5795,2020-04-10
25005,32822,2020-04-10
25009,38798,2020-04-10
25011,3887,2020-04-10
25013,25242,2020-04-10
25015,8153,2020-04-10
25017,69869,2020-04-10
25021,37132,2020-04-10
25023,30650,2020-04-10
25025,25626,2020-04-10
25027,46715,2020-04-10
26005,12069,2020-04-10
26007,2150,2020-04-10
26009,2153,2020-04-10
26015,6459,2020-04-10
26017,7462,2020-04-10
26021,4501,2020-04-10
26023,4313,2020-04-10
26025,11038,2020-04-10
26027,5327,2020-04-10
26029,2177,2020-04-10
26031,1814,2020-04-10
26035,3230,2020-04-10
26037,7997,2020-04-10
26041,2523,2020-04-10
26045,10522,2020-04-10
26047,2663,2020-04-10
26049,31864,2020-04-10
26051,2494,2020-04-10
26055,7310,2020-04-10
26057,3832,2020-04-10
26059,4030,2020-04-10
26061,1566,2020-04-10
26063,2506,2020-04-10
26065,18127,2020-04-10
26067,6155,2020-04-10
26069,2199,2020-04-10
26073,5419,2020-04-10
26075,13055,2020-04-10
26077,17248,2020-04-10
26079,1998,2020-04-10
26081,46480,2020-04-10
26087,8968,2020-04-10
26089,1660,2020-04-10
26091,7578,2020-04-10
26093,18967,2020-04-10
26099,62647,2020-04-10
26101,1803,2020-04-10
26103,3184,2020-04-10
26105,2537,2020-04-10
26107,4135,2020-04-10
26111,7360,2020-04-10
26115,15537,2020-04-10
26117,7396,2020-04-10
26121,14383,2020-04-10
26123,5285,2020-04-10
26125,87135,2020-04-10
26127,2402,2020-04-10
26129,2520,2020-04-10
26133,2649,2020-04-10
26137,2527,2020-04-10
26139,24494,2020-04-10
26143,2659,2020-04-10
26145,15762,2020-04-10
26147,14955,2020-04-10
26149,5633,2020-04-10
26151,4006,2020-04-10
26155,6736,2020-04-10
26157,5034,2020-04-10
26159,7543,2020-04-10
26161,20572,2020-04-10
26163,85427,2020-04-10
26165,3586,2020-04-10
27003,32711,2020-04-10
27005,2914,2020-04-10
27007,3129,2020-04-10
27009,4833,2020-04-10
27013,6645,2020-04-10
27015,2457,2020-04-10
27017,3328,2020-04-10
27019,10365,2020-04-10
27021,3268,2020-04-10
27025,6677,2020-04-10
27027,5003,2020-04-10
27035,6552,2020-04-10
27037,36150,2020-04-10
27039,2323,2020-04-10
27041,4110,2020-04-10
27045,1997,2020-04-10
27047,3161,2020-04-10
27049,5015,2020-04-10
27053,78019,2020-04-10
27055,1453,2020-04-10
27057,2032,2020-04-10
27059,5301,2020-04-10
27061,3478,2020-04-10
27067,3987,2020-04-10
27079,3671,2020-04-10
